datetime_ist,open,high,low,close
2026-03-24 14:56:00+05:30,22901.599609375,22901.599609375,22901.599609375,22901.599609375
2026-03-24 14:57:00+05:30,22903.650390625,22903.650390625,22903.650390625,22903.650390625
2026-03-24 14:58:00+05:30,22923.94921875,22923.94921875,22923.94921875,22923.94921875
2026-03-24 14:59:00+05:30,22925.349609375,22925.349609375,22925.349609375,22925.349609375
2026-03-24 15:00:00+05:30,22883.25,22883.25,22883.25,22883.25
2026-03-24 15:01:00+05:30,22892.25,22892.25,22892.25,22892.25
2026-03-24 15:02:00+05:30,22910.30078125,22910.30078125,22910.30078125,22910.30078125
2026-03-24 15:03:00+05:30,22907.75,22907.75,22907.75,22907.75
2026-03-24 15:04:00+05:30,22916.349609375,22916.349609375,22916.349609375,22916.349609375
2026-03-24 15:05:00+05:30,22906.44921875,22906.44921875,22906.44921875,22906.44921875
2026-03-24 15:06:00+05:30,22906.849609375,22906.849609375,22906.849609375,22906.849609375
2026-03-24 15:07:00+05:30,22917.94921875,22917.94921875,22917.94921875,22917.94921875
2026-03-24 15:08:00+05:30,22917.55078125,22917.55078125,22917.55078125,22917.55078125
2026-03-24 15:09:00+05:30,22917.55078125,22917.55078125,22917.55078125,22917.55078125
2026-03-24 15:10:00+05:30,22912.44921875,22912.44921875,22912.44921875,22912.44921875
2026-03-24 15:11:00+05:30,22915.80078125,22915.80078125,22915.80078125,22915.80078125
2026-03-24 15:12:00+05:30,22901.150390625,22901.150390625,22901.150390625,22901.150390625
2026-03-24 15:13:00+05:30,22912.400390625,22912.400390625,22912.400390625,22912.400390625
2026-03-24 15:14:00+05:30,22901.25,22901.25,22901.25,22901.25
2026-03-24 15:15:00+05:30,22888.0,22888.0,22888.0,22888.0
2026-03-24 15:16:00+05:30,22882.05078125,22882.05078125,22882.05078125,22882.05078125
2026-03-24 15:17:00+05:30,22915.599609375,22915.599609375,22915.599609375,22915.599609375
2026-03-24 15:18:00+05:30,22914.900390625,22927.05078125,22907.80078125,22908.0
2026-03-24 15:20:00+05:30,22921.44921875,22921.44921875,22921.44921875,22921.44921875
2026-03-24 15:21:00+05:30,22930.400390625,22930.400390625,22930.400390625,22930.400390625
2026-03-24 15:22:00+05:30,22921.900390625,22921.900390625,22921.900390625,22921.900390625
2026-03-24 15:23:00+05:30,22922.900390625,22922.900390625,22922.900390625,22922.900390625
2026-03-24 15:24:00+05:30,22923.349609375,22923.349609375,22923.349609375,22923.349609375
2026-03-24 15:25:00+05:30,22931.650390625,22931.650390625,22931.650390625,22931.650390625
2026-03-24 15:26:00+05:30,22946.0,22946.0,22946.0,22946.0
2026-03-24 15:27:00+05:30,22949.30078125,22949.30078125,22949.30078125,22949.30078125
2026-03-24 15:28:00+05:30,22955.650390625,22955.650390625,22955.650390625,22955.650390625
2026-03-24 15:29:00+05:30,22952.599609375,22952.599609375,22952.599609375,22952.599609375
